111,41,317,313,252,461,358
491,49,440,489,696,307,652
628,391,256,719,493,667,491
646,314,489,699,507,518,493
275,646,58,667,493,193,149
304,552,264,75,690,46,334
507,11,433,733,140,604,472
62,218,22,499,214,4,146
70,202,102,639,698,210,225
698,203,232,150,82,152,192
110,676,248,181,612,475,493
246,61,368,292,311,116,69
257,500,128,105,729,75,230
157,304,219,446,58,557,371
146,160,552,294,60,498,73
162,680,341,345,428,256,346
513,63,93,186,402,602,636
714,333,15,709,54,299,610
706,10,583,258,576,570,551
39,334,272,435,346,377,136
548,217,356,350,114,722,310
159,43,279,538,742,9,290
673,519,396,736,702,556,561
648,449,334,489,300,51,479
497,295,720,264,153,713,663
552,5,64,395,47,423,578
213,380,340,244,261,122,269
313,321,292,85,626,117,231
726,359,234,373,708,524,264
687,330,651,451,694,409,79
467,614,190,740,496,567,511
266,595,160,442,246,298,211
352,337,458,69,100,645,651
508,313,724,552,512,135,446
405,35,463,537,566,557,399
608,719,201,714,324,62,633
515,465,96,740,37,614,705
672,187,258,355,112,107,164
715,687,514,701,610,317,182
409,95,143,591,482,519,396
492,733,437,381,414,454,701
212,733,398,651,371,267,318
204,418,638,29,731,285,356
164,741,636,609,165,362,649
372,455,367,204,482,599,728
530,303,266,385,466,438,727
218,112,36,334,60,309,643
586,26,79,152,169,95,622
167,419,616,553,600,687,146
714,296,412,650,260,517,409
660,331,492,310,663,562,286
133,114,120,112,163,418,471
433,167,429,249,463,144,408
136,5,22,23,29,2,198
677,565,281,558,221,144,666
101,144,225,81,703,132,536
408,411,297,335,349,470,272
88,76,208,120,458,333,151
349,571,348,164,355,489,411
172,298,352,630,253,738,137
579,223,581,692,658,491,549
644,705,583,660,142,237,65
459,613,78,491,156,330,454
517,492,167,409,457,642,300
549,355,332,623,690,581,192
493,657,286,518,123,219,342
298,23,250,246,137,670,40
283,44,109,346,149,491,15
473,363,658,127,574,616,562
489,219,349,90,458,508,674
129,85,116,617,265,382,723
395,715,525,75,90,74,663
307,109,303,73,534,393,123
156,2,10,29,281,262,277
15,35,44,717,508,30,295
716,114,419,484,402,472,178
115,433,258,302,496,687,261
241,467,177,72,62,54,31
363,107,151,142,694,469,738
10,33,745,324,11,157,621
348,169,312,205,211,395,322
42,31,566,653,654,563,296
235,254,148,255,498,679,136
272,250,706,53,732,291,492
459,344,192,282,551,483,478
375,166,64,443,454,42,31
182,247,367,104,443,465,413
443,400,358,477,710,85,27
443,524,102,231,295,326,335
197,192,365,116,637,320,248
471,401,230,429,707,717,41
424,120,163,674,74,299,116
220,218,589,640,405,687,549
342,379,271,496,256,720,90
79,465,107,329,383,524,101
475,512,650,499,283,70,524
478,211,433,427,25,287,5
654,358,311,278,334,193,66
16,624,6,35,648,302,7
51,690,668,657,324,378,579
472,266,210,576,149,682,578
699,229,657,257,578,668,719
40,260,707,499,50,325,636
694,705,740,372,669,255,143
601,700,151,707,543,160,284
651,327,723,27,237,381,661
678,400,305,317,621,100,26
684,236,716,511,540,474,643
87,563,357,242,297,261,178
604,533,468,258,244,337,193
630,443,565,67,260,400,314
59,661,119,334,278,596,197
42,156,476,423,90,644,159
621,486,217,557,518,517,640
453,70,65,233,451,510,229
744,664,715,746,573,610,703
153,545,733,708,154,308,568
131,80,81,572,631,129,93
672,188,363,653,467,259,745
426,274,335,181,254,366,199
109,166,633,690,449,408,603
591,652,639,696,668,373,359
