24,92,254,114,270,810,193
405,160,156,148,168,323,134
986,20,742,117,286,696,681
571,909,203,722,526,287,740
214,589,171,796,569,745,530
910,876,840,368,841,157,311
653,489,471,955,995,885,210
488,244,47,340,567,24,109
446,215,694,32,57,858,913
643,377,15,684,139,411,473
90,370,121,181,774,580,143
750,200,255,201,204,357,514
692,426,361,746,490,28,209
218,891,469,497,159,697,375
705,403,583,149,266,720,183
338,337,339,348,973,340,606
711,790,713,931,835,772,633
808,13,907,351,573,256,755
2,564,617,457,934,319,921
127,494,721,794,6,706,85
841,211,129,350,881,825,77
405,783,961,696,202,23,40
932,690,474,419,749,928,884
757,942,708,612,580,712,395
595,280,1002,636,213,456,970
339,56,131,901,836,780,190
266,880,244,499,806,731,410
626,321,993,650,183,587,211
110,357,234,228,990,377,559
951,872,455,236,779,396,173
256,346,873,551,966,137,535
203,893,244,838,483,602,191
984,818,889,672,78,645,995
304,715,607,806,242,946,497
791,726,45,574,606,599,929
640,64,81,166,324,662,393
796,632,788,843,562,540,661
988,328,435,229,222,546,164
115,951,839,735,835,905,901
199,95,143,62,620,842,690
42,657,16,166,47,109,701
655,980,904,917,254,447,367
756,202,78,375,652,975,66
674,282,182,804,141,444,102
668,784,426,411,841,914,965
921,311,648,385,534,613,460
21,59,104,108,141,263,316
812,422,173,719,667,179,86
167,484,197,326,80,833,880
558,754,974,545,706,944,924
762,36,204,19,970,937,925
927,881,827,105,856,142,150
668,729,215,222,591,193,752
124,50,978,19,22,198,901
310,271,731,398,868,193,179
127,117,170,87,311,691,650
663,928,360,257,120,470,721
674,128,228,163,906,623,562
183,392,402,915,716,410,266
476,749,419,917,960,699,511
348,257,163,333,624,186,411
654,684,243,629,496,316,449
149,728,536,565,465,734,414
308,549,285,205,751,76,409
19,803,878,284,43,36,571
471,459,648,794,123,469,537
150,862,252,242,304,319,112
571,220,692,6,725,18,636
104,93,906,656,878,336,943
963,151,887,74,716,609,101
358,243,359,251,278,478,825
559,565,469,840,74,318,970
786,927,119,315,291,633,110
831,13,51,853,438,72,32
52,573,220,6,32,666,318
50,657,484,973,692,22,479
312,433,661,164,551,828,806
172,342,983,424,855,990,64
159,933,666,496,534,469,683
805,864,896,324,827,918,992
629,169,781,443,191,559,19
11,6,753,659,44,946,32
856,317,244,225,720,971,85
36,904,409,53,837,19,23
436,115,296,59,957,673,914
46,802,953,27,801,337,918
932,246,367,473,270,156,613
105,514,58,385,511,419,131
831,895,571,323,314,318,910
895,296,88,624,946,758,768
178,752,251,471,533,286,468
740,428,648,140,318,102,517
66,925,208,233,366,934,120
610,283,952,551,571,1002,911
92,610,560,82,139,802,812
104,320,66,796,311,583,774
52,191,433,251,314,463,739
736,34,376,1005,845,530,69
78,5,380,16,240,651,322
772,807,554,879,37,658,821
308,10,392,938,693,127,933
774,944,391,794,927,372,489
112,252,146,576,916,553,758
986,794,372,916,989,143,145
478,473,943,533,731,54,186
847,929,833,924,237,953,267
490,523,830,375,992,605,422
775,236,739,823,714,813,763
655,832,253,843,555,583,901
610,328,468,479,244,756,567
477,877,795,290,555,672,314
537,652,48,708,558,879,802
399,46,964,365,90,372,237
992,127,211,830,182,253,536
538,825,449,611,53,556,803
740,667,204,357,670,835,898
600,974,725,990,722,779,968
697,781,331,617,479,400,221
902,188,384,985,176,606,450
552,240,71,181,371,897,9
277,402,816,864,275,663,825
920,457,300,182,732,737,694
543,735,700,779,737,743,716
169,336,104,889,334,276,408
385,777,188,187,113,956,256
848,351,317,450,79,626,111
662,493,421,756,906,135,805
297,341,257,244,396,486,276
951,891,602,813,111,515,317
739,348,841,101,422,722,129
415,616,396,656,704,28,581
409,446,139,465,706,631,304
726,862,732,937,551,952,470
228,1001,463,373,764,907,368
645,986,29,427,2,503,772
831,64,636,833,21,150,930
705,435,81,346,116,74,488
309,590,123,109,799,652,934
367,667,286,202,536,892,271
939,177,400,893,680,558,272
236,164,955,884,928,472,756
412,398,980,599,173,899,713
251,875,4,644,901,223,403
456,235,255,276,116,550,791
995,129,939,949,735,774,1004
872,686,329,307,270,148,610
757,947,648,300,428,1003,346
31,121,459,360,606,902,42
253,631,20,820,272,69,96
822,587,833,362,844,965,914
844,710,876,605,295,250,275
918,705,312,406,50,275,983
964,162,114,138,152,385,187
749,677,863,405,811,179,420
629,574,712,752,828,147,670
646,28,619,669,590,52,300
738,944,710,823,728,219,469
937,944,300,451,835,779,415
674,15,803,677,78,470,270
49,71,814,368,274,2,448
372,269,213,417,906,503,751
902,795,302,304,393,810,514
783,421,822,569,499,96,451
933,681,585,821,666,384,845
931,808,525,368,318,790,321
469,768,191,117,34,219,435
197,147,911,596,925,248,569
653,949,31,410,26,214,109
248,805,272,312,362,63,162
649,809,303,45,225,75,935
709,212,524,805,820,136,682
102,550,282,433,513,775,379
429,127,138,360,290,230,152
127,314,250,916,375,218,153
690,211,479,109,459,181,1004
95,700,210,67,459,595,368
271,457,286,49,427,356,216
402,74,48,750,197,482,311
